strike_price,option_type,midpoint_price,delta_k,contribution_by_strike,strike_price,option_type,midpoint_price,delta_k,contribution_by_strike
1370,Put,0.2,5,0.0000005328,1275,Put,0.075,50,0.0000023069
1375,Put,0.125,5,0.0000003306,1325,Put,0.15,37.5,0.0000032041
1380,Put,0.15,5,0.0000003938,1350,Put,0.15,25,0.0000020577
1385,Put,0.225,5,0.0000005865,1375,Put,0.175,25,0.0000023141
1390,Put,0.225,5,0.0000005823,1400,Put,0.2,25,0.0000025511
1395,Put,0.125,5,0.0000003212,1425,Put,0.25,25,0.0000030779
1400,Put,0.125,7.5,0.0000004783,1450,Put,0.3,25,0.0000035673
1410,Put,0.225,10,0.0000011318,1475,Put,0.35,25,0.0000040219
1420,Put,0.225,7.5,0.0000008369,1500,Put,0.4,17.5,0.0000031112
1425,Put,0.175,5,0.0000004309,1510,Put,0.425,10,0.0000018640
1430,Put,0.225,5,0.0000005502,1520,Put,0.45,7.5,0.0000014608
1435,Put,0.275,5,0.0000006677,1525,Put,0.475,5,0.0000010213
1440,Put,0.175,5,0.0000004220,1530,Put,0.5,7.5,0.0000016020
1445,Put,0.225,5,0.0000005388,1540,Put,0.525,10,0.0000022137
1450,Put,0.2,5,0.0000004756,1550,Put,0.55,7.5,0.0000017170
1455,Put,0.25,5,0.0000005905,1555,Put,0.575,5,0.0000011890
1460,Put,0.25,5,0.0000005864,1560,Put,0.6,5,0.0000012328
1465,Put,0.25,5,0.0000005824,1565,Put,0.625,5,0.0000012759
1470,Put,0.25,5,0.0000005785,1570,Put,0.65,5,0.0000013185
1475,Put,0.2,5,0.0000004596,1575,Put,0.675,5,0.0000013606
1480,Put,0.25,5,0.0000005707,1580,Put,0.675,5,0.0000013520
1485,Put,0.35,5,0.0000007936,1585,Put,0.7,5,0.0000013932
1490,Put,0.175,5,0.0000003941,1590,Put,0.725,5,0.0000014339
1495,Put,0.275,5,0.0000006152,1595,Put,0.75,5,0.0000014741
1500,Put,0.325,5,0.0000007222,1600,Put,0.775,5,0.0000015137
1505,Put,0.325,5,0.0000007174,1605,Put,0.8,5,0.0000015528
1510,Put,0.3,5,0.0000006579,1610,Put,0.825,5,0.0000015914
1515,Put,0.3,5,0.0000006535,1615,Put,0.85,5,0.0000016295
1520,Put,0.35,5,0.0000007575,1620,Put,0.875,5,0.0000016671
1525,Put,0.35,5,0.0000007525,1625,Put,0.9,5,0.0000017042
1530,Put,0.325,5,0.0000006942,1630,Put,0.95,5,0.0000017878
1535,Put,0.375,5,0.0000007958,1635,Put,0.975,5,0.0000018237
1540,Put,0.375,5,0.0000007906,1640,Put,1,5,0.0000018591
1545,Put,0.375,5,0.0000007855,1645,Put,1.025,5,0.0000018940
1550,Put,0.5,5,0.0000010406,1650,Put,1.075,5,0.0000019743
1555,Put,0.425,5,0.0000008788,1655,Put,1.1,5,0.0000020081
1560,Put,0.425,5,0.0000008732,1660,Put,1.15,5,0.0000020867
1565,Put,0.425,5,0.0000008676,1665,Put,1.2,5,0.0000021644
1570,Put,0.475,5,0.0000009635,1670,Put,1.225,5,0.0000021963
1575,Put,0.55,5,0.0000011086,1675,Put,1.275,5,0.0000022723
1580,Put,0.525,5,0.0000010515,1680,Put,1.325,5,0.0000023474
1585,Put,0.525,5,0.0000010449,1685,Put,1.375,5,0.0000024215
1590,Put,0.525,5,0.0000010384,1690,Put,1.425,5,0.0000024947
1595,Put,0.525,5,0.0000010319,1695,Put,1.475,5,0.0000025670
1600,Put,0.675,5,0.0000013184,1700,Put,1.525,5,0.0000026385
1605,Put,0.575,5,0.0000011161,1705,Put,1.6,5,0.0000027520
1610,Put,0.625,5,0.0000012056,1710,Put,1.675,5,0.0000028642
1615,Put,0.625,5,0.0000011982,1715,Put,1.725,5,0.0000029325
1620,Put,0.625,5,0.0000011908,1720,Put,1.8,5,0.0000030423
1625,Put,0.675,5,0.0000012781,1725,Put,1.85,5,0.0000031087
1630,Put,0.675,5,0.0000012703,1730,Put,1.925,5,0.0000032160
1635,Put,0.725,5,0.0000013561,1735,Put,2,5,0.0000033221
1640,Put,0.725,5,0.0000013478,1740,Put,2.1,5,0.0000034682
1645,Put,0.775,5,0.0000014320,1745,Put,2.175,5,0.0000035715
1650,Put,0.675,5,0.0000012397,1750,Put,2.275,5,0.0000037144
1655,Put,0.825,5,0.0000015060,1755,Put,2.375,5,0.0000038556
1660,Put,0.825,5,0.0000014970,1760,Put,2.475,5,0.0000039951
1665,Put,0.875,5,0.0000015782,1765,Put,2.575,5,0.0000041330
1670,Put,0.875,5,0.0000015688,1770,Put,2.725,5,0.0000043491
1675,Put,0.925,5,0.0000016485,1775,Put,2.825,5,0.0000044833
1680,Put,0.975,5,0.0000017273,1780,Put,3,5,0.0000047344
1685,Put,1.025,5,0.0000018051,1785,Put,3.1,5,0.0000048648
1690,Put,1.025,5,0.0000017944,1790,Put,3.25,5,0.0000050718
1695,Put,1.075,5,0.0000018709,1795,Put,3.45,5,0.0000053539
1700,Put,1.125,5,0.0000019464,1800,Put,3.6,5,0.0000055557
1705,Put,1.125,5,0.0000019350,1805,Put,3.8,5,0.0000058319
1710,Put,1.175,5,0.0000020092,1810,Put,3.95,5,0.0000060287
1715,Put,1.225,5,0.0000020825,1815,Put,4.2,5,0.0000063749
1720,Put,1.275,5,0.0000021549,1820,Put,4.4,5,0.0000066419
1725,Put,1.325,5,0.0000022265,1825,Put,4.65,5,0.0000069808
1730,Put,1.375,5,0.0000022972,1830,Put,4.9,5,0.0000073160
1735,Put,1.425,5,0.0000023670,1835,Put,5.15,5,0.0000076474
1740,Put,1.475,5,0.0000024360,1840,Put,5.45,5,0.0000080490
1745,Put,1.55,5,0.0000025452,1845,Put,5.75,5,0.0000084461
1750,Put,1.6,5,0.0000026123,1850,Put,6.05,5,0.0000088388
1755,Put,1.675,5,0.0000027192,1855,Put,6.45,5,0.0000093724
1760,Put,1.75,5,0.0000028248,1860,Put,6.75,5,0.0000097557
1765,Put,1.825,5,0.0000029292,1865,Put,7.15,5,0.0000102785
1770,Put,1.9,5,0.0000030324,1870,Put,7.65,5,0.0000109385
1775,Put,2,5,0.0000031740,1875,Put,8.15,5,0.0000115914
1780,Put,2.075,5,0.0000032746,1880,Put,8.6,5,0.0000121664
1785,Put,2.175,5,0.0000034132,1885,Put,9.2,5,0.0000129463
1790,Put,2.25,5,0.0000035112,1890,Put,9.75,5,0.0000136478
1795,Put,2.375,5,0.0000036856,1895,Put,10.4,5,0.0000144809
1800,Put,2.525,5,0.0000038967,1900,Put,11.1,5,0.0000153743
1805,Put,2.625,5,0.0000040286,1905,Put,11.8,5,0.0000162582
1810,Put,2.775,5,0.0000042353,1910,Put,12.6,5,0.0000172697
1815,Put,2.95,5,0.0000044776,1915,Put,13.45,5,0.0000183386
1820,Put,3.075,5,0.0000046417,1920,Put,14.4,5,0.0000195317
1825,Put,3.3,5,0.0000049541,1925,Put,15.4,5,0.0000207797
1830,Put,3.45,5,0.0000051511,1930,Put,16.4,5,0.0000220146
1835,Put,3.65,5,0.0000054200,1935,Put,17.6,5,0.0000235034
1840,Put,3.9,5,0.0000057598,1940,Put,18.8,5,0.0000249767
1845,Put,4.1,5,0.0000060224,1945,Put,20.2,5,0.0000266989
1850,Put,4.35,5,0.0000063551,1950,Put,21.6,5,0.0000284031
1855,Put,4.65,5,0.0000067568,1955,Put,23.2,5,0.0000303512
1860,Put,4.95,5,0.0000071542,1960,Put/Call_Average,26.1,5,0.0000339711
1865,Put,5.25,5,0.0000075471,1965,Call,24.15,5,0.0000312732
1870,Put,5.6,5,0.0000080073,1970,Call,21.1,5,0.0000271851
1875,Put,6,5,0.0000085335,1975,Call,18.3,5,0.0000234584
1880,Put,6.4,5,0.0000090541,1980,Call,15.7,5,0.0000200240
1885,Put,6.85,5,0.0000096393,1985,Call,13.3,5,0.0000168776
1890,Put,7.35,5,0.0000102883,1990,Call,11.1,5,0.0000140151
1895,Put,7.9,5,0.0000109999,1995,Call,9.15,5,0.0000114952
1900,Put,8.3,5,0.0000114961,2000,Call,7.4,5,0.0000092502
1905,Put,9,5,0.0000124003,2005,Call,5.85,5,0.0000072763
1910,Put,9.65,5,0.0000132263,2010,Call,4.65,5,0.0000057549
1915,Put,10.6,5,0.0000144526,2015,Call,3.55,5,0.0000043718
1920,Put,11.4,5,0.0000154626,2020,Call,2.7,5,0.0000033086
1925,Put,12.1,5,0.0000163269,2025,Call,2.05,5,0.0000024997
1930,Put,13.25,5,0.0000177861,2030,Call,1.55,5,0.0000018807
1935,Put,14.15,5,0.0000188962,2035,Call,1.15,5,0.0000013885
1940,Put,15.25,5,0.0000202603,2040,Call,0.875,5,0.0000010513
1945,Put,16.55,5,0.0000218745,2045,Call,0.675,5,0.0000008070
1950,Put,18.25,5,0.0000239979,2050,Call,0.575,7.5,0.0000010262
1955,Put,19.75,5,0.0000258376,2060,Call,0.35,10,0.0000008248
1960,Put/Call_Average,22.775,5,0.0000296432,2070,Call,0.25,7.5,0.0000004376
1965,Call,21.05,5,0.0000272588,2075,Call,0.2,15,0.0000006968
1970,Call,18.1,5,0.0000233198,2100,Call,0.15,25,0.0000008504
1975,Call,15.25,5,0.0000195486,2125,Call,0.1,25,0.0000005536
1980,Call,12.75,5,0.0000162614,2150,Call,0.1,37.5,0.0000008113
1985,Call,10.45,5,0.0000132609,2200,Call,0.075,50,0.0000007748
1990,Call,8.45,5,0.0000106691
1995,Call,6.65,5,0.0000083544
2000,Call,4.95,5,0.0000061876
2005,Call,3.8,5,0.0000047264
2010,Call,2.875,5,0.0000035582
2015,Call,2.025,5,0.0000024938
2020,Call,1.45,5,0.0000017768
2025,Call,1.125,5,0.0000013718
2030,Call,0.725,5,0.0000008797
2035,Call,0.525,5,0.0000006339
2040,Call,0.5,5,0.0000006007
2045,Call,0.4,5,0.0000004782
2050,Call,0.25,5,0.0000002974
2055,Call,0.325,5,0.0000003848
2060,Call,0.225,5,0.0000002651
2065,Call,0.175,5,0.0000002052
2070,Call,0.15,5,0.0000001750
2075,Call,0.15,5,0.0000001742
2080,Call,0.25,5,0.0000002889
2085,Call,0.225,5,0.0000002588
2090,Call,0.1,5,0.0000001145
2095,Call,0.2,5,0.0000002278
2100,Call,0.1,15,0.0000003401
2125,Call,0.1,25,0.0000005536